rank,xp,wallet_address,on_chain_missions_done,referral_level,referral_count,Sybil find (Ancestors),Sybil find (Social link),Sybil final
131,42800,elys14dcuhekc0j56ep48xa2cuka4sdns4fxmvhdtn3,113,10,213,Sybil,True user,Sybil
6674,20350,elys1zdv4xrmf7taaw04sdlr7qf87y403a4r0ayz5ss,170,1,29,True User,Sybil,Sybil
26045,12450,elys15r66xtptpy605smpzpvap77at8e8m2q6xsnkqn,98,1,15,True User,Sybil,Sybil
21267,13700,elys17cf28d5tmj53pdyfq4dphphs85arkdltp7jdg8,114,0,14,True User,Sybil,Sybil
38643,10050,elys1x7p62nujnyfu2xw3etpszeljdzzwddqq4zqpde,107,2,12,True User,Sybil,Sybil
36917,10300,elys1hem0kpdcpf2q5sl6h0h6zrp68y3z9q5ywkhg2u,110,3,12,True User,Sybil,Sybil
40589,9700,elys185nua3x48pxeaq0nzf6szas2u2a9nwtjnyk2lu,102,2,12,True User,Sybil,Sybil
39731,9850,elys1zg2c0f4pttygkxjjzuj9agwnc82dxqcgfqqw44,108,3,11,True User,Sybil,Sybil
39459,9900,elys1zf395ys5jujhqr3j0rtcsd35tkaagsdvt50fhj,107,3,11,True User,Sybil,Sybil
40029,9800,elys1xett3aeh80rnv2fu7zlaecluxxs8d4fkkvyhy3,105,3,11,True User,Sybil,Sybil
36235,10400,elys1x3fta2zzd4j68p3j4v7xuj29urs3c6q9sxtslu,113,1,11,True User,Sybil,Sybil
37893,10150,elys1x0nlql54au6l86fvf7xp74qz9us8k69llfmcdn,110,4,11,True User,Sybil,Sybil
36236,10400,elys1wl34d3akyllxxdpvl4p7khpcpusf8c67w8pzxt,113,4,11,True User,Sybil,Sybil
39460,9900,elys1w6hx3wm43gcsh3uk8qmzr88xh4cks90ceqkjg6,107,3,11,True User,Sybil,Sybil
37896,10150,elys1w609nr8jl4c9deurzxw7fex3q5phr3u595gptd,110,3,11,True User,Sybil,Sybil
40847,9650,elys1w0nlsfq427nc4m49e8vryc5hvs0jyjxkrsvj3v,104,4,11,True User,Sybil,Sybil
36234,10400,elys1shzdzwjn6wuj5w8extq7kwzsmdjtc5h0pgfk5f,113,2,11,True User,Sybil,Sybil
38644,10050,elys1rzqc9ryslk7kuvyk67f707yshp7tn4t202ta28,108,4,11,True User,Sybil,Sybil
38645,10050,elys1rvzszkww8p6jhc537qwserh78leuz8ws2kegfy,108,4,11,True User,Sybil,Sybil
38646,10050,elys1ql5a8y2t0zdyy5vgeunh2t4lefsmuwfavg9e2a,108,3,11,True User,Sybil,Sybil
35629,10500,elys1nqjyfh0zlsfjq3khl6hu2x2n8mrewanv0pak40,115,3,11,True User,Sybil,Sybil
37209,10250,elys1n6g5wjhel5k7ptfvuscvjpczs3j7aymm84mk3p,112,2,11,True User,Sybil,Sybil
39458,9900,elys1kvflsxn053dsc6qhvymmzllcw2l9qenktj520m,107,3,11,True User,Sybil,Sybil
38931,10000,elys1klf3ryah208atp6fj3d84hcevn6kv47dqmj8hl,109,3,11,True User,Sybil,Sybil
42384,9400,elys1js7ctyhe850u2qq3lfdexmzuwt55r2yytkw4hk,101,3,11,True User,Sybil,Sybil
39454,9900,elys1h2nrepc4gzmpj39asyzecpga5qsd2kk030a42f,107,0,11,True User,Sybil,Sybil
37892,10150,elys1h0farmdnz7z6fr3j8zngkgt5phnc9jmzgmnvx3,110,4,11,True User,Sybil,Sybil
38927,10000,elys1ffpnrq8ues07k35cu6463p7walczwq7zwjh9na,109,2,11,True User,Sybil,Sybil
37894,10150,elys1eylg2taadf95my6h48yegsdx8jypjcanp2efmu,110,3,11,True User,Sybil,Sybil
39455,9900,elys1enwu0f0du84680ks4ejqlywdvldjwvlp8dqd0h,107,3,11,True User,Sybil,Sybil
39456,9900,elys1degnmmwwn6y2uggaxu29x7rltaj270yx48tqkt,107,2,11,True User,Sybil,Sybil
40030,9800,elys1c0frr3n5a97kw2uhq3duq4h4e8q5r3tka6rync,105,4,11,True User,Sybil,Sybil
39457,9900,elys1aw52zhdp9xan6wk25zn8xqcrhx6f83tu5wpayp,107,4,11,True User,Sybil,Sybil
41471,9550,elys1a3tlk29x607ykarfyngkp49e439spyjqfq6y0r,102,4,11,True User,Sybil,Sybil
40844,9650,elys16tnyq4qhfaw204yyvzavrp04jp7tpskulpa2l7,104,2,11,True User,Sybil,Sybil
36237,10400,elys1665htxymjh6zg50jsyk9pg8m8u66ru79sz090u,113,3,11,True User,Sybil,Sybil
37897,10150,elys14hu7sjlmyrupz3lm26rvxe5n8lz2nmgkhju0t7,110,3,11,True User,Sybil,Sybil
37895,10150,elys13t5ch5uan68a32hghgqdvtneuh0vvzcwhnj2ex,110,3,11,True User,Sybil,Sybil
40845,9650,elys10wadw22ftxtkct22lvs5j83m4c9vlz43ed7ruy,104,2,11,True User,Sybil,Sybil
37898,10150,elys10nat4nl79pxsh0wc3d0he076w5tjk53vsylz7p,110,3,11,True User,Sybil,Sybil
